CALLS,PUTS,OI_CALL,CHNG_IN_OI_CALL,VOLUME_CALL,IV_CALL,LTP_CALL,CHNG_CALL,BID_QTY_CALL,BID_CALL,ASK_CALL,ASK_QTY_CALL,STRIKE,BID_QTY_PUT,BID_PUT,ASK_PUT,ASK_QTY_PUT,CHNG_PUT,LTP_PUT,IV_PUT,VOLUME_PUT,CHNG_IN_OI_PUT,OI_PUT
,531,-64.0,1446.0,52.45,0.35,-0.65,7200.0,0.3,0.45,1275.0,25350.0,"1,125",2625.5,3113.95,1125.0,0.6,2321.45,0.0,0.0,0.0,2.0,
,"1,235",-841.0,11609.0,52.56,0.3,-0.7,20400.0,0.25,0.8,75.0,25400.0,150,2830.1,2844.5,75.0,70.45,2835.45,0.0,111.0,-78.0,102.0,
,289,-466.0,3851.0,56.26,0.55,-0.5,5175.0,0.55,1.25,1500.0,25450.0,"1,125",2700.7,3014.3,1125.0,1.35,2416.3,0.0,0.0,0.0,3.0,
,"20,127",-6579.0,66915.0,55.49,0.4,-0.6,98025.0,0.35,0.45,3600.0,25500.0,375,2932.9,2941.4,75.0,51.75,2937.0,0.0,1728.0,-1440.0,2011.0,
,279,-247.0,1705.0,54.93,0.3,-0.8,14025.0,0.3,1.1,1500.0,25550.0,"1,200",2924.1,3102.25,1125.0,0.0,2984.85,0.0,0.0,0.0,3.0,
,"1,013",-437.0,6485.0,55.72,0.3,-0.65,7725.0,0.3,0.5,225.0,25600.0,"1,125",3012.8,3044.95,750.0,74.8,3034.8,0.0,271.0,-201.0,88.0,
,"2,012",-15.0,2354.0,57.24,0.35,-0.6,16200.0,0.3,1.4,1500.0,25650.0,"1,125",2893.35,3205.0,1125.0,0.0,2730.0,0.0,0.0,0.0,3.0,
,410,-299.0,3945.0,60.84,0.6,-0.35,7200.0,0.3,0.9,150.0,25700.0,"1,125",3104.05,3144.2,375.0,58.9,3136.5,0.0,123.0,-100.0,126.0,
,"1,035",-393.0,3717.0,66.7,1.35,0.4,825.0,0.35,1.5,1500.0,25750.0,"1,125",2973.15,3306.0,1125.0,-0.2,2703.65,0.0,0.0,0.0,5.0,
,995,-1626.0,7524.0,62.48,0.3,-0.65,7125.0,0.3,1.4,1500.0,25800.0,"1,125",3215.2,3425.5,150.0,56.85,3243.65,79.18,206.0,-149.0,115.0,
,424,-77.0,3335.0,65.0,0.8,-0.2,18000.0,0.3,0.9,900.0,25850.0,"1,125",3084.75,3433.35,1125.0,1.15,2813.8,0.0,0.0,0.0,3.0,
,974,-718.0,7752.0,63.07,0.5,-0.5,1725.0,0.5,1.25,1500.0,25900.0,375,3329.7,3344.5,150.0,4.85,3301.35,0.0,19.0,-6.0,70.0,
,347,-136.0,2811.0,66.65,0.8,-0.1,450.0,0.4,1.3,1500.0,25950.0,"1,125",3177.8,3507.7,1125.0,0.0,3340.0,0.0,0.0,0.0,3.0,
,"27,121",-8324.0,71449.0,64.66,0.5,-0.45,1500.0,0.5,0.75,2250.0,26000.0,75,3432.15,3440.15,75.0,51.65,3440.0,73.15,4518.0,-4160.0,4135.0,
,476,-407.0,5217.0,68.3,0.8,-0.2,1200.0,0.4,0.8,3825.0,26050.0,"1,125",3272.6,3630.5,1125.0,-1.25,3012.45,0.0,0.0,0.0,2.0,
,"1,020",-534.0,11288.0,63.44,0.3,-0.65,3525.0,0.3,0.5,1350.0,26100.0,"1,125",3481.3,3551.8,1125.0,442.25,3499.9,0.0,8.0,-7.0,75.0,
,525,-149.0,2599.0,65.76,0.4,-0.55,750.0,0.4,1.2,1500.0,26150.0,"1,125",3323.3,3732.95,1125.0,0.9,3112.6,0.0,0.0,0.0,3.0,
,"1,724",-190.0,15755.0,70.75,1.0,0.15,2850.0,0.3,1.0,750.0,26200.0,675,3621.8,3644.9,225.0,-3.4,3615.0,0.0,203.0,-171.0,213.0,
,768,-294.0,5207.0,72.35,0.9,0.0,32400.0,0.3,0.9,150.0,26250.0,"1,125",3480.05,3892.2,1725.0,0.0,3305.35,0.0,0.0,0.0,12.0,
,"4,786",-3130.0,34945.0,73.91,1.0,0.05,225.0,0.4,0.95,750.0,26300.0,225,3728.1,3782.7,1125.0,-116.1,3699.95,0.0,3.0,-1.0,95.0,
,402,49.0,5662.0,67.22,0.3,-0.6,8925.0,0.3,0.75,1575.0,26350.0,"1,725",3524.7,3938.3,1125.0,454.4,3768.35,0.0,2.0,0.0,1.0,
,"4,992",-3020.0,33570.0,70.93,0.5,-0.4,44700.0,0.3,0.8,3600.0,26400.0,"1,125",3728.25,3886.25,1125.0,0.0,3437.6,0.0,0.0,0.0,29.0,
,"2,246",-240.0,44277.0,72.3,0.55,-0.35,75.0,0.55,0.8,1500.0,26450.0,"1,200",3783.2,3933.15,1125.0,0.0,3510.2,0.0,0.0,0.0,2.0,
,"1,08,394",-31157.0,290221.0,73.08,0.55,-0.35,2400.0,0.55,0.6,2100.0,26500.0,450,3935.0,3943.25,75.0,51.65,3941.6,88.52,1878.0,-1591.0,2210.0,
